训练集大小: 60000
测试集大小: 10000
loss: 2.5725150108337402     time: 1661523892.78493    loop: 0
loss: 1.8400866985321045     time: 1661523926.4673035    loop: 10
loss: 1.111298680305481     time: 1661523960.6134012    loop: 20
loss: 0.5947774648666382     time: 1661523995.1217546    loop: 30
loss: 0.5045608282089233     time: 1661524029.6873603    loop: 40
loss: 0.4288875460624695     time: 1661524065.3901877    loop: 50
loss: 0.32395222783088684     time: 1661524099.6742296    loop: 60
loss: 0.23689737915992737     time: 1661524134.091397    loop: 70
loss: 0.3488243520259857     time: 1661524168.461952    loop: 80
loss: 0.1783123016357422     time: 1661524203.0291731    loop: 90
loss: 0.2741836607456207     time: 1661524240.2336407    loop: 100
loss: 0.2595353126525879     time: 1661524275.512101    loop: 110
loss: 0.23410756886005402     time: 1661524309.8583972    loop: 120
loss: 0.2602658271789551     time: 1661524345.1876829    loop: 130
loss: 0.2423195242881775     time: 1661524379.917862    loop: 140
loss: 0.1943015456199646     time: 1661524414.1850188    loop: 150
loss: 0.17573192715644836     time: 1661524449.1590302    loop: 160
loss: 0.10817253589630127     time: 1661524483.0591686    loop: 170
loss: 0.25763824582099915     time: 1661524516.5412772    loop: 180
loss: 0.10412397980690002     time: 1661524550.2496605    loop: 190
loss: 0.11833825707435608     time: 1661524583.5386698    loop: 200
loss: 0.16422946751117706     time: 1661524617.882307    loop: 210
loss: 0.1368561089038849     time: 1661524651.3080573    loop: 220
loss: 0.012526876293122768     time: 1661524684.672644    loop: 230
